identifier,phrog,product,function
phage_3581,p-1657,head morphogenesis,head and packaging
phage_3582,p-192,DNA polymerase exonuclease subunit,"DNA, RNA and nucleotide metabolism"
phage_3583,p-6651,internal virion protein,head and packaging
phage_3584,p-184,baseplate hub,tail
phage_3585,p-104,portal protein,head and packaging
phage_3586,p-290,minor tail protein,tail
phage_3587,p-9474,replication initiation protein,"DNA, RNA and nucleotide metabolism"
phage_3588,p-16227,virion structural protein,head and packaging
phage_3589,p-1008,DNA methyltransferase,other
phage_3590,p-113,portal protein,head and packaging
phage_3591,p-5385,phosphate transporter subunit,"moron, auxiliary metabolic gene and host takeover"
phage_3592,p-33320,tail fiber protein,tail
phage_3593,p-310,transposase,integration and excision
phage_3594,p-8688,,unknown function
phage_3595,p-430,baseplate hub subunit and tail lysozyme,tail
phage_3596,p-1033,ParB-like partition protein,"DNA, RNA and nucleotide metabolism"
phage_3597,p-16227,virion structural protein,head and packaging
phage_3598,p-3437,major head protein,head and packaging
phage_3599,p-22602,virion structural protein,head and packaging
phage_3600,p-3017,head maturation protease,head and packaging
phage_3601,p-87,metallo-protease,other
phage_3602,p-10512,virion structural protein,head and packaging
phage_3603,p-1468,transcriptional repressor,transcription regulation
phage_3604,p-645,Rnase E,"DNA, RNA and nucleotide metabolism"
phage_3605,p-6700,endolysin,lysis
phage_3606,p-2330,unknown function,unknown function
phage_3607,p-4372,tail length tape measure protein,tail
phage_3608,p-28673,tail protein,tail
phage_3609,p-355,nucleoside 2-deoxyribosyltransferase,"DNA, RNA and nucleotide metabolism"
phage_3610,p-9729,tail fiber protein,tail
phage_3611,p-801,dATP / dGTP pyrophosphohydrolase,"DNA, RNA and nucleotide metabolism"
phage_3612,p-21962,tail protein,tail
phage_3613,p-21214,acetyltransferase,other
phage_3614,p-6,baseplate wedge subunit,tail
phage_3615,p-54,DksA-like zinc-finger protein,other
phage_3616,p-3904,tail fiber protein,tail
phage_3617,p-6444,DNA primase,"DNA, RNA and nucleotide metabolism"
phage_3618,p-181,endolysin,lysis
phage_3619,p-14076,transcriptional regulator,transcription regulation
phage_3620,p-2643,5'-3' deoxyribonucleotidase,"moron, auxiliary metabolic gene and host takeover"
phage_3621,p-29,major head protein,head and packaging
phage_3622,p-34309,,unknown function
phage_3623,p-3267,tail protein,tail
phage_3624,p-3347,Galactose-3-O-sulfotransferase,"moron, auxiliary metabolic gene and host takeover"
phage_3625,p-3201,tail fiber protein,tail
phage_3626,p-394,tail protein,tail
phage_3627,p-13,Rz-like spanin,lysis
phage_3628,p-1,integrase,integration and excision
phage_3629,p-36218,,unknown function
phage_3630,p-2967,transcriptional regulator,transcription regulation
phage_3631,p-11393,tail fiber protein,tail
phage_3632,p-36707,tail fiber protein,tail
phage_3633,p-33321,,unknown function
phage_3634,p-1,integrase,integration and excision
phage_3635,p-1642,virion structural protein,head and packaging
phage_3636,p-1686,tail length tape measure protein,tail
phage_3637,p-986,RNA-binding protein,"DNA, RNA and nucleotide metabolism"
phage_3638,p-9361,methyltransferase,other
phage_3639,p-2941,virion structural protein,head and packaging
phage_3640,p-4779,transcriptional regulator,transcription regulation
phage_3641,p-4211,tail length tape measure protein,tail
phage_3642,p-4856,nucleoside triphosphate pyrophosphohydrolase,other
phage_3643,p-20660,tail length tape measure protein,tail
phage_3644,p-27166,tail length tape measure protein,tail
phage_3645,p-38058,tail fiber protein,tail
phage_3646,p-290,minor tail protein,tail
phage_3647,p-5810,replication initiation protein,"DNA, RNA and nucleotide metabolism"
phage_3648,p-424,phosphoadenosine phosphosulfate reductase,"moron, auxiliary metabolic gene and host takeover"
phage_3649,p-21963,alkylated DNA repair,"DNA, RNA and nucleotide metabolism"
phage_3650,p-26616,lipoprotein,other
phage_3651,p-1465,terminase,head and packaging
phage_3652,p-5668,tail fiber protein,tail
phage_3653,p-5573,terminase large subunit,head and packaging
phage_3654,p-24759,methyltransferase,other
phage_3655,p-334,major head protein,head and packaging
phage_3656,p-56,DNA methyltransferase,other
phage_3657,p-57,terminase small subunit,head and packaging
phage_3658,p-14917,tail length tape measure protein,tail
phage_3659,p-12312,virion structural protein,head and packaging
phage_3660,p-843,Holliday junction resolvase,"DNA, RNA and nucleotide metabolism"
phage_3661,p-18522,tail protein,tail
phage_3662,p-213,portal protein,head and packaging
phage_3663,p-22502,methyltransferase,other
phage_3664,p-216,integrase,integration and excision
phage_3665,p-156,portal protein,head and packaging
phage_3666,p-25,head closure Hc1,connector
phage_3667,p-5989,terminase large subunit,head and packaging
phage_3668,p-7303,,unknown function
phage_3669,p-9001,tail assembly chaperone,tail
phage_3670,p-8510,virion structural protein,head and packaging
phage_3671,p-325,Dda-like helicase,"DNA, RNA and nucleotide metabolism"
phage_3672,p-2524,,unknown function
phage_3673,p-13163,baseplate wedge subunit,tail
phage_3674,p-9474,replication initiation protein,"DNA, RNA and nucleotide metabolism"
phage_3675,p-873,endolysin,head and packaging
phage_3676,p-13163,baseplate wedge subunit,tail
phage_3677,p-22602,virion structural protein,head and packaging
phage_3678,p-7378,baseplate protein,tail
phage_3679,p-863,tail fiber assembly,tail
phage_3680,p-525,,unknown function
phage_3681,p-192,DNA polymerase exonuclease subunit,"DNA, RNA and nucleotide metabolism"
phage_3682,p-704,DNA repair exonuclease,"DNA, RNA and nucleotide metabolism"
phage_3683,p-3427,holin,lysis
phage_3684,p-7245,anti-restriction protein,"moron, auxiliary metabolic gene and host takeover"
phage_3685,p-279,tail sheath,tail
phage_3686,p-23,tail sheath,tail
phage_3687,p-21308,radical SAM domain-containing protein,other
phage_3688,p-1674,exonuclease,"DNA, RNA and nucleotide metabolism"
phage_3689,p-363,DNA methyltransferase,other
phage_3690,p-107,exonuclease,"DNA, RNA and nucleotide metabolism"
phage_3691,p-991,tail length tape measure protein,tail
phage_3692,p-18345,tail fiber protein,tail
phage_3693,p-1,integrase,integration and excision
phage_3694,p-6079,tail protein,tail
phage_3695,p-5499,host range and adsorption protein,"moron, auxiliary metabolic gene and host takeover"
phage_3696,p-445,terminase small subunit,head and packaging
phage_3697,p-5668,tail fiber protein,tail
phage_3698,p-1249,acetyltransferase,other
phage_3699,p-31,central tail fiber J,tail
phage_3700,p-19943,virion structural protein,head and packaging
phage_3701,p-8510,virion structural protein,head and packaging
phage_3702,p-179,tail terminator,connector
phage_3703,p-1044,endolysin,lysis
phage_3704,p-14147,transcriptional regulator,transcription regulation
phage_3705,p-29493,,unknown function
phage_3706,p-418,internal virion protein,head and packaging
phage_3707,p-9959,tail length tape measure protein,tail
phage_3708,p-3427,holin,lysis
phage_3709,p-26492,ATPase,other
phage_3710,p-9007,,unknown function
phage_3711,p-2163,virion structural protein,head and packaging
phage_3712,p-1740,RNA polymerase sigma factor,transcription regulation
phage_3713,p-3519,tail length tape measure protein,tail
phage_3714,p-11439,tail fiber protein,tail
phage_3715,p-2139,exonuclease,"DNA, RNA and nucleotide metabolism"
phage_3716,p-4715,ParB-like partition protein,"DNA, RNA and nucleotide metabolism"
phage_3717,p-8460,tail fiber protein,tail
phage_3718,p-48,tail protein,tail
phage_3719,p-1026,Rz-like spanin,lysis
phage_3720,p-141,terminase small subunit,head and packaging
phage_3721,p-66,excisionase and transcriptional regulator,integration and excision
phage_3722,p-1835,HTH DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_3723,p-7121,tail fiber protein,tail
phage_3724,p-530,head maturation protease,head and packaging
phage_3725,p-23,tail sheath,tail
phage_3726,p-10089,DarB-like antirestriction,"moron, auxiliary metabolic gene and host takeover"
phage_3727,p-17587,tail fiber protein,tail
phage_3728,p-13,Rz-like spanin,lysis
phage_3729,p-1373,transcriptional regulator,transcription regulation
phage_3730,p-4636,tail spike protein,tail
phage_3731,p-195,head-tail adaptor,connector
phage_3732,p-337,tail protein,tail
phage_3733,p-5939,tail protein,tail
phage_3734,p-16999,Fe-S oxidoreductase,other
phage_3735,p-785,holin,lysis
phage_3736,p-16823,tail length tape measure protein,tail
phage_3737,p-5412,,unknown function
phage_3738,p-1482,terminase small subunit,head and packaging
phage_3739,p-14168,nuclease,"DNA, RNA and nucleotide metabolism"
phage_3740,p-873,endolysin,head and packaging
phage_3741,p-1141,tail fiber protein,tail
phage_3742,p-18345,tail fiber protein,tail
phage_3743,p-178,high light inducible protein,other
phage_3744,p-355,nucleoside 2-deoxyribosyltransferase,"DNA, RNA and nucleotide metabolism"
phage_3745,p-3704,ferredoxin,"moron, auxiliary metabolic gene and host takeover"
phage_3746,p-1249,acetyltransferase,other
phage_3747,p-7168,homing endonuclease,"DNA, RNA and nucleotide metabolism"
phage_3748,p-19,DnaB-like replicative helicase,"DNA, RNA and nucleotide metabolism"
phage_3749,p-123,tail terminator,connector
phage_3750,p-8780,minor tail protein,tail
phage_3751,p-4527,short tail fiber protein,tail
phage_3752,p-4271,tail protein,tail
phage_3753,p-5342,tail fiber protein,tail
phage_3754,p-5838,virion structural protein,head and packaging
phage_3755,p-1373,transcriptional regulator,transcription regulation
phage_3756,p-7269,integrase,integration and excision
phage_3757,p-430,baseplate hub subunit and tail lysozyme,tail
phage_3758,p-19,DnaB-like replicative helicase,"DNA, RNA and nucleotide metabolism"
phage_3759,p-33464,,unknown function
phage_3760,p-598,DNA ejection,"DNA, RNA and nucleotide metabolism"
phage_3761,p-19394,tail fiber protein,tail
phage_3762,p-261,baseplate wedge subunit,tail
phage_3763,p-2234,tail spike protein,tail
phage_3764,p-785,holin,lysis
phage_3765,p-9959,tail length tape measure protein,tail
phage_3766,p-15478,tail length tape measure protein,tail
phage_3767,p-29740,,unknown function
phage_3768,p-14917,tail length tape measure protein,tail
phage_3769,p-15312,virion structural protein,head and packaging
phage_3770,p-36,transcriptional regulator,transcription regulation
phage_3771,p-1687,MarR family transcrition regulator,transcription regulation
phage_3772,p-3188,co-chaperonin GroES,other
phage_3773,p-119,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_3774,p-6918,holin,lysis
phage_3775,p-805,internal virion protein,head and packaging
phage_3776,p-27166,tail length tape measure protein,tail
phage_3777,p-323,"transcriptional regulator, D5-like",transcription regulation
phage_3778,p-8540,replication initiation O-like,"DNA, RNA and nucleotide metabolism"
phage_3779,p-18891,tail length tape measure protein,tail
phage_3780,p-164,ParA-like partition protein,"DNA, RNA and nucleotide metabolism"
phage_3781,p-4704,tail length tape measure protein,tail
phage_3782,p-3322,endonuclease,"DNA, RNA and nucleotide metabolism"
phage_3783,p-677,baseplate wedge tail fiber protein connector,tail
phage_3784,p-206,head scaffolding protein,head and packaging
phage_3785,p-10089,DarB-like antirestriction,"moron, auxiliary metabolic gene and host takeover"
phage_3786,p-33244,tail fiber protein,tail
phage_3787,p-9863,virion structural protein,head and packaging
phage_3788,p-24361,terminase,head and packaging
phage_3789,p-1535,tail length tape measure protein,tail
phage_3790,p-6651,internal virion protein,head and packaging
phage_3791,p-21789,virion structural protein,head and packaging
phage_3792,p-8540,replication initiation O-like,"DNA, RNA and nucleotide metabolism"
phage_3793,p-21,portal protein,head and packaging
phage_3794,p-6468,tail fiber protein; host specificity,tail
phage_3795,p-10089,DarB-like antirestriction,"moron, auxiliary metabolic gene and host takeover"
phage_3796,p-16950,DNA primase,"DNA, RNA and nucleotide metabolism"
phage_3797,p-3244,head maturation protease,head and packaging
phage_3798,p-216,integrase,integration and excision
phage_3799,p-10093,tail length tape measure protein,tail
phage_3800,p-2170,glycosyltransferase,"moron, auxiliary metabolic gene and host takeover"
phage_3801,p-11011,long tail fiber protein distal subunit,tail
phage_3802,p-9298,radical SAM domain protein,other
phage_3803,p-2282,tail fiber protein,tail
phage_3804,p-1535,tail length tape measure protein,tail
phage_3805,p-1731,virion structural protein,head and packaging
phage_3806,p-309,terminase small subunit,head and packaging
phage_3807,p-1530,DNA methyltransferase,other
phage_3808,p-3180,Arc-like repressor,transcription regulation
phage_3809,p-863,tail fiber assembly,tail
phage_3810,p-19658,replication initiation protein,"DNA, RNA and nucleotide metabolism"
phage_3811,p-1272,tail length tape measure protein,tail
phage_3812,p-1917,virion structural protein,head and packaging
phage_3813,p-25848,tail fiber protein,tail
phage_3814,p-17587,tail fiber protein,tail
phage_3815,p-8821,Rz-like spanin,lysis
phage_3816,p-126,holin/anti-holin,lysis
phage_3817,p-31,central tail fiber J,tail
phage_3818,p-931,head morphogenesis,head and packaging
phage_3819,p-11023,homing endonuclease with LAGLIDADG motif,"DNA, RNA and nucleotide metabolism"
phage_3820,p-1128,enoyl-CoA hydratase/carnithine racemase-like,"moron, auxiliary metabolic gene and host takeover"
phage_3821,p-138,major head protein,head and packaging
phage_3822,p-18345,tail fiber protein,tail
phage_3823,p-394,tail protein,tail
phage_3824,p-9987,holin,lysis
phage_3825,p-290,minor tail protein,tail
phage_3826,p-2340,endonuclease,"DNA, RNA and nucleotide metabolism"
phage_3827,p-9148,UDP-glucose dehydrogenase,other
phage_3828,p-21866,primase,"DNA, RNA and nucleotide metabolism"
phage_3829,p-15752,protein kinase; inhibitor of host transcription; positively regulates RNaseIII; negatively on RNaseE,other
phage_3830,p-119,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_3831,p-378,single strand DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_3832,p-20,holin,lysis
phage_3833,p-10356,virion structural protein,head and packaging
phage_3834,p-1468,transcriptional repressor,transcription regulation
phage_3835,p-4697,tail assembly chaperone,tail
phage_3836,p-6247,DNA topoisomerase,"DNA, RNA and nucleotide metabolism"
phage_3837,p-863,tail fiber assembly,tail
phage_3838,p-16726,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_3839,p-645,Rnase E,"DNA, RNA and nucleotide metabolism"
phage_3840,p-1646,major coat protein,head and packaging
phage_3841,p-4771,DHH phosphoesterase,other
phage_3842,p-506,transposase,integration and excision
phage_3843,p-26675,endolysin,lysis
phage_3844,p-95,integrase,integration and excision
phage_3845,p-3022,DNA primase,"DNA, RNA and nucleotide metabolism"
phage_3846,p-1064,prohead,head and packaging
phage_3847,p-620,ParB-like partition protein,"DNA, RNA and nucleotide metabolism"
phage_3848,p-2175,protein with Ig domain,other
phage_3849,p-3810,acetyltransferase,other
phage_3850,p-5774,head-tail joining,connector
phage_3851,p-88,major tail protein,tail
phage_3852,p-16227,virion structural protein,head and packaging
phage_3853,p-130,anti-repressor Ant,transcription regulation
phage_3854,p-23,tail sheath,tail
phage_3855,p-3725,tail completion or Neck1 protein,connector
phage_3856,p-4924,short tail fiber protein,tail
phage_3857,p-13289,tail protein,tail
phage_3858,p-9959,tail length tape measure protein,tail
phage_3859,p-15516,methyltransferase,other
phage_3860,p-36,transcriptional regulator,transcription regulation
phage_3861,p-86,ribonucleoside diphosphate reductase small subunit,"DNA, RNA and nucleotide metabolism"
phage_3862,p-66,excisionase and transcriptional regulator,integration and excision
phage_3863,p-2,terminase large subunit,head and packaging
phage_3864,p-4372,tail length tape measure protein,tail
phage_3865,p-2245,nucleoside triphosphate pyrophosphohydrolase,other
phage_3866,p-2595,head-tail connector protein,connector
phage_3867,p-11565,,unknown function
phage_3868,p-13987,radical SAM domain-containing protein,other
phage_3869,p-3549,,unknown function
phage_3870,p-22502,methyltransferase,other
phage_3871,p-704,DNA repair exonuclease,"DNA, RNA and nucleotide metabolism"
phage_3872,p-2389,QueD-like  6-pyruvoyl-tetrahydropterin synthase,"moron, auxiliary metabolic gene and host takeover"
phage_3873,p-36700,,unknown function
phage_3874,p-22,thioredoxin domain,"DNA, RNA and nucleotide metabolism"
phage_3875,p-9683,protease,other
phage_3876,p-812,Rz-like spanin,lysis
phage_3877,p-22637,pilot protein for DNA ejection,tail
phage_3878,p-80,head maturation protease,head and packaging
phage_3879,p-876,transcriptional repressor,transcription regulation
phage_3880,p-6651,internal virion protein,head and packaging
phage_3881,p-399,structural protein,head and packaging
phage_3882,p-3125,S-adenosylmethionine decarboxylase,other
phage_3883,p-21658,methyltransferase,other
phage_3884,p-5668,tail fiber protein,tail
phage_3885,p-6121,virion structural protein,head and packaging
phage_3886,p-30589,,unknown function
phage_3887,p-938,endolysin,lysis
phage_3888,p-1727,tail protein and host specificity,tail
phage_3889,p-9811,,unknown function
phage_3890,p-2644,glycosyltransferase,"moron, auxiliary metabolic gene and host takeover"
phage_3891,p-6651,internal virion protein,head and packaging
phage_3892,p-12661,transglycosylase,other
phage_3893,p-27061,,unknown function
phage_3894,p-16046,,unknown function
phage_3895,p-18488,,unknown function
phage_3896,p-4211,tail length tape measure protein,tail
phage_3897,p-4211,tail length tape measure protein,tail
phage_3898,p-4775,pre-neck appendage protein,connector
phage_3899,p-4354,,unknown function
phage_3900,p-4712,holin,lysis
phage_3901,p-13892,minor tail protein,tail
phage_3902,p-237,head scaffolding protein,head and packaging
phage_3903,p-456,Rz-like spanin,lysis
phage_3904,p-10356,virion structural protein,head and packaging
phage_3905,p-4704,tail length tape measure protein,tail
phage_3906,p-8,transcriptional regulator,transcription regulation
phage_3907,p-14441,tail length tape measure protein,tail
phage_3908,p-587,structural protein,head and packaging
phage_3909,p-290,minor tail protein,tail
phage_3910,p-328,head maturation protease,head and packaging
phage_3911,p-2954,ferrochelatase,"moron, auxiliary metabolic gene and host takeover"
phage_3912,p-234,late sigma transcription factor,transcription regulation
phage_3913,p-497,toxin-antitoxin system HicB-like,"moron, auxiliary metabolic gene and host takeover"
phage_3914,p-3287,virion structural protein,head and packaging
phage_3915,p-11355,tail fiber protein,tail
phage_3916,p-34631,,unknown function
phage_3917,p-305,tail length tape measure protein,tail
phage_3918,p-2685,partition protein ATPase,other
phage_3919,p-1198,MutT/NUDIX hydrolase,other
phage_3920,p-11693,pilot protein for DNA ejection,tail
phage_3921,p-2468,head morphogenesis,head and packaging
phage_3922,p-5302,tail protein,tail
phage_3923,p-8510,virion structural protein,head and packaging
phage_3924,p-18657,DNA methyltransferase,other
phage_3925,p-230,baseplate tail tube cap,tail
phage_3926,p-305,tail length tape measure protein,tail
phage_3927,p-671,nucleotide pyrophosphohydrolase,other
phage_3928,p-2557,virion structural protein,head and packaging
phage_3929,p-4836,CII-like regulator,transcription regulation
phage_3930,p-61,2OG-Fe(II) oxygenase,"moron, auxiliary metabolic gene and host takeover"
phage_3931,p-314,homing endonuclease,"DNA, RNA and nucleotide metabolism"
phage_3932,p-9017,tail fiber protein,tail
phage_3933,p-270,replication initiation protein,"DNA, RNA and nucleotide metabolism"
phage_3934,p-23181,ATPase,other
phage_3935,p-14857,HTH DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_3936,p-2234,tail spike protein,tail
phage_3937,p-5073,tail fiber protein,tail
phage_3938,p-3883,internal virion protein,head and packaging
phage_3939,p-582,Arc-like repressor,transcription regulation
phage_3940,p-267,major head protein,head and packaging
phage_3941,p-148,RecT-like ssDNA annealing protein,"DNA, RNA and nucleotide metabolism"
phage_3942,p-4752,tRNA methyltransferase,other
phage_3943,p-27257,terminase small subunit,head and packaging
phage_3944,p-4704,tail length tape measure protein,tail
phage_3945,p-599,Lar-like restriction alleviation protein,"moron, auxiliary metabolic gene and host takeover"
phage_3946,p-8102,replication initiation protein,"DNA, RNA and nucleotide metabolism"
phage_3947,p-4016,replication initiation protein,"DNA, RNA and nucleotide metabolism"
phage_3948,p-3427,holin,lysis
phage_3949,p-4691,excisionase,integration and excision
phage_3950,p-1716,tail length tape measure protein,tail
phage_3951,p-22,thioredoxin domain,"DNA, RNA and nucleotide metabolism"
phage_3952,p-1657,head morphogenesis,head and packaging
phage_3953,p-172,head scaffolding protein,head and packaging
phage_3954,p-892,tail fiber protein,tail
phage_3955,p-36601,tail fiber protein,tail
phage_3956,p-8865,head scaffolding protein,head and packaging
phage_3957,p-463,anti-repressor,transcription regulation
phage_3958,p-5354,,unknown function
phage_3959,p-2468,head morphogenesis,head and packaging
phage_3960,p-81,2OG-Fe(II) oxygenase,"moron, auxiliary metabolic gene and host takeover"
phage_3961,p-8156,methyltransferase,other
phage_3962,p-6879,head-tail connector protein,connector
phage_3963,p-6468,tail fiber protein; host specificity,tail
phage_3964,p-12661,transglycosylase,other
phage_3965,p-6387,,unknown function
phage_3966,p-1538,tail length tape measure protein,tail
phage_3967,p-8156,methyltransferase,other
phage_3968,p-325,Dda-like helicase,"DNA, RNA and nucleotide metabolism"
phage_3969,p-1035,endonuclease VII,"DNA, RNA and nucleotide metabolism"
phage_3970,p-15881,tail protein,tail
phage_3971,p-3636,DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_3972,p-836,late transcriptional activator,transcription regulation
phage_3973,p-2340,endonuclease,"DNA, RNA and nucleotide metabolism"
phage_3974,p-24355,polysaccharide deacetylase,"moron, auxiliary metabolic gene and host takeover"
phage_3975,p-3737,tail fiber protein,tail
phage_3976,p-5616,tail fiber protein,tail
phage_3977,p-6202,tail fiber protein,tail
phage_3978,p-34682,holin,lysis
phage_3979,p-430,baseplate hub subunit and tail lysozyme,tail
phage_3980,p-351,RNA polymerase sigma factor,transcription regulation
phage_3981,p-351,RNA polymerase sigma factor,transcription regulation
phage_3982,p-18522,tail protein,tail
phage_3983,p-4898,holin,lysis
phage_3984,p-4849,tail protein,tail
phage_3985,p-36707,tail fiber protein,tail
phage_3986,p-77,SbcC-like subunit of palindrome specific endonuclease,"DNA, RNA and nucleotide metabolism"
phage_3987,p-9145,tail length tape measure protein,tail
phage_3988,p-19186,,unknown function
phage_3989,p-3704,ferredoxin,"moron, auxiliary metabolic gene and host takeover"
phage_3990,p-12798,tail length tape measure protein,tail
phage_3991,p-959,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_3992,p-9942,tail fiber protein,tail
phage_3993,p-4218,anaerobic ribonucleoside reductase large subunit,"DNA, RNA and nucleotide metabolism"
phage_3994,p-9959,tail length tape measure protein,tail
phage_3995,p-5529,transfer protein,other
phage_3996,p-1482,terminase small subunit,head and packaging
phage_3997,p-17706,membrane protein,"moron, auxiliary metabolic gene and host takeover"
phage_3998,p-1482,terminase small subunit,head and packaging
phage_3999,p-5616,tail fiber protein,tail
phage_4000,p-62,DNA helicase,"DNA, RNA and nucleotide metabolism"
phage_4001,p-1716,tail length tape measure protein,tail
phage_4002,p-2597,DNA primase,"DNA, RNA and nucleotide metabolism"
phage_4003,p-9001,tail assembly chaperone,tail
phage_4004,p-392,metal-dependent hydrolase,other
phage_4005,p-6942,tail fiber protein,tail
phage_4006,p-18345,tail fiber protein,tail
phage_4007,p-14917,tail length tape measure protein,tail
phage_4008,p-22609,tail fiber protein,tail
phage_4009,p-5352,,unknown function
phage_4010,p-4204,tail terminator,connector
phage_4011,p-3287,virion structural protein,head and packaging
phage_4012,p-681,endonuclease,"DNA, RNA and nucleotide metabolism"
phage_4013,p-729,cold shock protein,other
phage_4014,p-359,DNA methyltransferase,other
phage_4015,p-254,late promoter transcriptional regulator,transcription regulation
phage_4016,p-16,DNA helicase,"DNA, RNA and nucleotide metabolism"
phage_4017,p-168,clamp loader of DNA polymerase,"DNA, RNA and nucleotide metabolism"
phage_4018,p-21231,virion structural protein,head and packaging
phage_4019,p-1932,tail assembly chaperone,tail
phage_4020,p-2606,terminase small subunit,head and packaging
phage_4021,p-16227,virion structural protein,head and packaging
phage_4022,p-3855,HTH DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_4023,p-2335,tail length tape measure protein,tail
phage_4024,p-72,NinB/ Orf homologous recombination mediator,"DNA, RNA and nucleotide metabolism"
phage_4025,p-119,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_4026,p-12,portal protein,head and packaging
phage_4027,p-150,baseplate hub,tail
phage_4028,p-2913,glycoside hydrolase,other
phage_4029,p-598,DNA ejection,"DNA, RNA and nucleotide metabolism"
phage_4030,p-2986,RNA polymerase beta subunit,"DNA, RNA and nucleotide metabolism"
phage_4031,p-2739,portal protein,head and packaging
phage_4032,p-12082,portal protein,head and packaging
phage_4033,p-4779,transcriptional regulator,transcription regulation
phage_4034,p-2675,DNA methyltransferase,other
phage_4035,p-4260,,unknown function
phage_4036,p-5448,tail length tape measure protein,tail
phage_4037,p-18522,tail protein,tail
phage_4038,p-231,UvsY-like recombination mediator,"DNA, RNA and nucleotide metabolism"
phage_4039,p-3282,sigma factor,transcription regulation
phage_4040,p-115,minor head protein,head and packaging
phage_4041,p-6651,internal virion protein,head and packaging
phage_4042,p-24456,tail fiber protein,tail
phage_4043,p-812,Rz-like spanin,lysis
phage_4044,p-1162,tail fiber protein,tail
phage_4045,p-66,excisionase and transcriptional regulator,integration and excision
phage_4046,p-2557,virion structural protein,head and packaging
phage_4047,p-59,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_4048,p-150,baseplate hub,tail
phage_4049,p-5558,Lar-like restriction alleviation protein,"moron, auxiliary metabolic gene and host takeover"
phage_4050,p-16143,DNA methyltransferase,other
phage_4051,p-761,thymidylate kinase,other
phage_4052,p-51,terminase small subunit,head and packaging
phage_4053,p-2106,minor tail protein,tail
phage_4054,p-10086,HTH DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_4055,p-1224,endolysin,head and packaging
phage_4056,p-1373,transcriptional regulator,transcription regulation
phage_4057,p-2214,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_4058,p-205,tail sheath,tail
phage_4059,p-8757,virion structural protein,head and packaging
phage_4060,p-1035,endonuclease VII,"DNA, RNA and nucleotide metabolism"
phage_4061,p-605,,unknown function
phage_4062,p-10316,tail fiber protein,tail
phage_4063,p-99,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_4064,p-8156,methyltransferase,other
phage_4065,p-1101,tail protein,tail
phage_4066,p-20,holin,lysis
phage_4067,p-22322,tail protein,tail
phage_4068,p-8469,tail fiber protein,tail
phage_4069,p-2328,transcriptional repressor,transcription regulation
phage_4070,p-35827,,unknown function
phage_4071,p-9116,tail protein,tail
phage_4072,p-7,endolysin,lysis
phage_4073,p-615,head-tail adaptor,connector
phage_4074,p-1885,minor tail protein,tail
phage_4075,p-195,head-tail adaptor,connector
phage_4076,p-63,anti-repressor Ant,transcription regulation
phage_4077,p-906,DNA polymerase/primase,"DNA, RNA and nucleotide metabolism"
phage_4078,p-24355,polysaccharide deacetylase,"moron, auxiliary metabolic gene and host takeover"
phage_4079,p-568,plasmid stability,"DNA, RNA and nucleotide metabolism"
phage_4080,p-1452,Gp5.5-like host HNS inhibition,"moron, auxiliary metabolic gene and host takeover"
phage_4081,p-1198,MutT/NUDIX hydrolase,other
phage_4082,p-4758,terminase large subunit,head and packaging
phage_4083,p-267,major head protein,head and packaging
phage_4084,p-10918,,unknown function
phage_4085,p-1129,holin,lysis
phage_4086,p-9959,tail length tape measure protein,tail
phage_4087,p-2935,virion structural protein,head and packaging
phage_4088,p-15913,,unknown function
phage_4089,p-38,terminase large subunit,head and packaging
phage_4090,p-4102,terminase small subunit,head and packaging
phage_4091,p-10938,virion structural protein,head and packaging
phage_4092,p-4583,transcriptional repressor,transcription regulation
phage_4093,p-124,Sak4-like ssDNA annealing protein,"DNA, RNA and nucleotide metabolism"
phage_4094,p-2662,portal protein,head and packaging
phage_4095,p-4271,tail protein,tail
phage_4096,p-236,nucleotide kinase,other
phage_4097,p-1009,,unknown function
phage_4098,p-28766,tail fiber protein,tail
phage_4099,p-291,endolysin,lysis
phage_4100,p-1506,tail length tape measure protein,tail
phage_4101,p-4836,CII-like regulator,transcription regulation
phage_4102,p-15731,tail assembly chaperone,tail
phage_4103,p-261,baseplate wedge subunit,tail
phage_4104,p-4636,tail spike protein,tail
phage_4105,p-302,virion structural protein,head and packaging
phage_4106,p-1314,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_4107,p-447,NAD synthetase,other
phage_4108,p-761,thymidylate kinase,other
phage_4109,p-1026,Rz-like spanin,lysis
phage_4110,p-9552,kinase,other
phage_4111,p-8010,tail length tape measure protein,tail
